"Fiscal_Year","Contracting_Agency_ID","fundingrequestingagencyid","ContractingOfficeID","fundingrequestingofficeid","PlatformPortfolio","ProjectID","ProductOrServiceCode","ClaimantProgramCode","CompetitionClassification","ClassifyNumberOfOffers","PricingMechanism","research_code","VendorSize","ParentID","dunsnumber","CSIStransactionID","CSIScontractID","idvpiid","idvagencyid","agencyid","PIID","NumberOfActions","Action_Obligation_Then_Year","progsourceagency","progsourceaccount","progsourcesubacct","account_title","rec_flag","treasury_accounts_funding_this_award","federal_accounts_funding_this_award","usaspending_permalink","MainAccountTitle","ContractingAgencyName","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","Project.Name","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","Action_Obligation_OMB23_GDP21","dFYear","descriptionofcontractrequirement","recipient_uei","recipient_parent_uei","parentdunsnumber","vendorname","standardizedvendorname","principalnaicscode"
2012,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"074689217",20720773,1422431,"","",9700,"FA865012M2279",1,150000,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",173310.000030329,2012-01-01,"HYDRATION TOLERANT, LOW THERMAL CONNECTIVITY THERMAL BARRIER COATINGS",NA,NA,74689217,"UES, INC.","UES",541712
2000,"2100","2100","AH01","","Aircraft",1898,"AD92","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"883774614",9715955,496764,"","",9700,"DAAH0199CR239",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","OTHER DEFENSE (APPLIED/EXPLORATORY)","R&D","R&D","Applied Research (6.2)","R&D","OH-58 KIOWA (AHIP)",0,"Army","Small",576470.196615353,2000-01-01,"",NA,NA,883774614,"NANOPORE INCORPORATED","NANOPORE",NA
2000,"2100","2100","AB07","","Aircraft",113,"AC61","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"611454620",29064103,463602,"","",9700,"DAAB0700CK515",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D","AH-64 APACHE",0,"Army","Small",576470.196615353,2000-01-01,"",NA,NA,611454620,"ESSENTIAL RESEARCH INC","ESSENTIAL RESEARCH",NA
2003,"5700","5700","GR14","","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"612498220",4669134,1185496,"","",9700,"F3361503C2338",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",537295.387152755,2003-01-01,"",NA,NA,612498220,"REACTION ENGINEERING INTERNATI","REACTION ENGINEERING INTERNATI",541710
2017,"9763","5700","S0513A","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"005594908",69631478,1420939,"","",9700,"FA865010C2104",1,-0.31,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Other DoD","Small",-0.337899999874977,2017-01-01,"IMPROVED TWO-PHASE MODEL FOR JP-8 AND ALTERNATIVE FUELS","JYCHWMTD25T5",NA,5594908,"ENERGY PLUS LTD","ENERGY PLUS",541712
2012,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AC61","A1B","Limited Competition with multiple offers","5-9 Offers","Firm Fixed Price","SR1","Small",NA,"795953095",9116672,1422397,"","",9700,"FA865012M2220",1,149892,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",173185.216830307,2012-01-01,"SBIR I: HIGH TEMPERATURE ELECTRO-MAGNETIC ACTUATORS (HTEMA)","PXVSNHKR48E6",NA,961602021,"RCT SYSTEMS, INC.","RCT SYSTEMS",541712
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"073955507",21514677,1418390,"","",9700,"FA865006C2617",1,1323363,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",1678390.35150952,2007-01-01,"ADDITIONAL WORK",NA,NA,73955507,"IMPACT TECHNOLOGIES LLC","IMPACT TECHNOLOGIES",541710
2020,"5700","5700","FA8100","F3YCAE","Aircraft",NA,"AD22","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR2","Small",NA,"798896564",86789555,72116598,"","",9700,"FA810018C0013",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA810018C0013_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2020-01-01,"SMALL BUSINESS INNOVATION RESEARCH (SBIR) TOPIC AF161-010, DIRECT METAL PRINTING","VBSUFLQPYBN3",NA,798896564,"DIGIBEAM CORPORATION","DIGIBEAM",541715
2021,"5700","5700","FA8650","F4FBEQ","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","ST1","Small",NA,"010926207",107030602,87657661,"","",9700,"FA865021P2315",1,149997,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA865021P2315_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",149997,2021-01-01,"RAPID CFD: A FLEXIBLE RAPID COMPUTATIONAL FLUID DYNAMICS PLATFORM","DK6LPWMS5LP5","DK6LPWMS5LP5",10926207,"KITWARE, INC.","KITWARE",541713
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"155009587",32957207,1418391,"","",9700,"FA865006C2618",1,374890,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",475464.221742187,2007-01-01,"ADD INCREMENTAL FUNDING AND FULLY FUND THE CONTRACT",NA,NA,155009587,"ZOLO TECHNOLOGIES, INC","ZOLO TECHNOLOGIES",541710
2005,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"849921051",21595258,1417730,"","",9700,"FA865005C2530",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",506044.148805626,2005-01-01,"",NA,NA,849921051,"DIVERSITECH, INC","DIVERSITECH",541710
2013,"5700","9700","FA8650","HQ0287","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR3","Small",NA,"782766831",36199750,1422070,"","",9700,"FA865012C2200",1,24240,97,"0400","",NA,"",NA,NA,NA,"Research, Development, Test and Evaluation, Defense-wide","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",27614.7663223265,2013-01-01,"MULTI-PARAMETER LASER SPEC&IMAGING","C3DAVH4VJDG3",NA,782766831,"SPECTRAL ENERGIES, LLC","SPECTRAL ENERGIES",541712
2015,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"557510336",41375141,1422084,"","",9700,"FA865012C2238",1,0,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2015-01-01,"IGF::OT::IGF SBIR II COMMUNICATION ARCHITECTURE FOR DISTRIBUTED CONTROL OF TURBINE ENGINES - POP EXTENSION",NA,NA,557510336,"ORBITAL RESEARCH INC","ORBITAL RESEARCH",541712
2012,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"072021041",16783324,1419683,"","",9700,"FA865008C2914",1,0,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",0,2012-01-01,"SBIR II NO-COST TIME EXTENSION",NA,NA,72021041,"CREARE INCORPORATED","CREARE",541712
2000,"2100","2100","AH01","","Aircraft",NA,"AD92","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR1","Small","ACCURATE AUTOMATION","194646782",25048884,493124,"","",9700,"DAAH0100CR152",1,99000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","OTHER DEFENSE (APPLIED/EXPLORATORY)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",152188.131906453,2000-01-01,"","J7BNBXH8BGF9",NA,194646782,"ACCURATE AUTOMATION CORPORATIO","ACCURATE AUTOMATION",NA
2014,"5700","5700","FA8650","F4FRQT","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"133132691",39649609,1422085,"","",9700,"FA865012C2239",1,0,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2014-01-01,"SBIR II DELIVERY DATE EXTENSION - THERMALLY EFFICIENT FUEL MGT TECHNOLOGY VDP DEVELOPMENT","KEYKD72LAET7",NA,133132691,"TURNKEY DESIGN SERVICES","TURNKEY DESIGN SERVICES",541712
2014,"5700","5700","FA8650","F4FBDC","Aircraft",NA,"AD91","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"181947730",36480777,27168293,"","",9700,"FA865014M5074",1,150000,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","OTHER DEFENSE (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",168196.816837341,2014-01-01,"IGF::OT::IGF SBIR I: TDA RESEARCH: CHROMATE-FREE FUEL TANK","MK5ANJVWVZK7",NA,181947730,"TDA RESEARCH, INC.","TDA RESEARCH",541711
2017,"5700","5700","FA8100","F3YCAE","Aircraft",NA,"AZ12","A1B","Competition with single offer","One Offer","Firm Fixed Price","SR1","Small",NA,"808480086",69010781,69407521,"","",9700,"FA810017C0015",1,141822.1094,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",154586.099188803,2017-01-01,"IGF::OT::IGF RESEARCH AND DEVELOPMENT FOR MATERIAL SENSOR TECHNOLOGY FOR CHEMICAL CLEANING AND STRIPPING PROCESS",NA,NA,808480086,"ALPHASENSE, INC.","ALPHASENSE",541712
2017,"5700","5700","FA8650","F4FRQT","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"941348278",65861657,61826130,"","",9700,"FA865015C2566",1,205459,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",223950.309917138,2017-01-01,"IGF::OT::IGF OPTIMIZATION OF HEAVY FUEL ROTARY&PISTON ENGINES - FINAL INCREMENTAL FUNDING",NA,NA,941348278,"BAKER ENGINEERING INC","BAKER ENGINEERING",541712
2017,"5700","5700","FA8100","F3YCAE","Aircraft",NA,"AD22","A1B","Competition with single offer","One Offer","Firm Fixed Price","SR1","Small","PHYSICAL OPTIC","033449757",66263156,69407519,"","",9700,"FA810017C0013",1,0,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2017-01-01,"IGF::OT::IGF RESEARCH AND DEVELOPMENT IN-PROCESS LASER ULTRASONIC INSPECTION OF ADDITIVE MANUFACTURED (AM) SIMULATED AEROSPACE CRITICAL PARTS","NLDHG92SMX37",NA,33449757,"INTELLIGENT OPTICAL SYSTEMS, INC.","INTELLIGENT OPTICAL SYSTEMS",541712
2013,"5700","5700","FA8650","F4FBDC","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"959989054",35734487,1421515,"","",9700,"FA865011C2145",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",0,2013-01-01,"TRANSFER RESPONSIBILITY OF CONTRACT",NA,NA,959989054,"ACTIVE SIGNAL TECHNOLOGIES INC","ACTIVE SIGNAL TECHNOLOGIES",541712
2007,"5700","5700","FA8650","F4FBEU","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","3-4 Offers","Cost Plus Fixed Fee","ST2","Small",NA,"196231166",26752315,1418396,"","",9700,"FA865006C2660",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","3-4 Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",475603.73217029,2007-01-01,"AUTHORIZATION OF YEAR 2 TASKS AND COMPLETION OF FUNDING","RSALD9ULYWG3",NA,196231166,"REACTION SYSTEMS, LLC","REACTION SYSTEMS",541710
2008,"2100","2100","W909MY","W15GK8","Aircraft",NA,"AD92","A1B","Competition with single offer","One Offer","Combination (two or more)","SR2","Small",NA,"111046152",16951224,8030737,"","",9700,"W909MY06C0063",1,1008123,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","OTHER DEFENSE (APPLIED/EXPLORATORY)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",1235584.293777,2008-01-01,"SBIR PHASE II","YMHEYEX1P9U8",NA,111046152,"TIAX LIMITED LIABILITY COMPANY","TIAX LIMITED LIABILITY COMPANY",541712
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"928815307",27479292,1420017,"","",9700,"FA865008M2839",1,59769,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",73254.5906151901,2008-01-01,"SBIR I -- FULLY FUND",NA,NA,928815307,"TTC TECHNOLOGIES INCORPORATED","TTC TECHNOLOGIES",541712
2019,"5700","5700","FA8650","F4FRQH","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"969308311",77203188,61826096,"","",9700,"FA865015C2513",1,79105,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA865015C2513_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",82840.4940055595,2019-01-01,"Q1EE TETRA RES'S NUM ANALYS FOR SCRAMJ&COLD START",NA,NA,969308311,"TETRA RESEARCH CORPORATION","TETRA RESEARCH",541712
2015,"5700","5700","FA8650","F4FBDC","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"062167416",43736501,61826158,"","",NA,"FA865015C5081",1,375000,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",418259.484293685,2015-01-01,"IGF::OT::IGF ADVANCED SUB-SCALE COMPONENT HIGH TEMPERATURE MULTI-AXIAL",NA,NA,62167416,"TEST DEVICES, INC.","TEST DEVICES",541712
2007,"5700","5700","FA8650","F4FBEX","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small","K TECHNOLOGY","967049065",28729365,1419357,"","",9700,"FA865007M2795",1,99979,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",126801.028103076,2007-01-01,"SBIR I",NA,NA,967049065,"K TECHNOLOGY CORPORATION","K TECHNOLOGY",541710
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"188465819",11867629,1418991,"","",9700,"FA865007C2733",1,187500,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",237801.866085145,2007-01-01,"TBC LIFING TECHNOLOGY USING SOLID SOLUTION",NA,NA,188465819,"METROLASER INCORPORATED","METROLASER",541710
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Competition with single offer","One Offer","Not Reported","SR2","Small",NA,"883926594",5584406,1417734,"","",9700,"FA865005C2534",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",0,2008-01-01,"ALL OPTICAL HYPERSONIC",NA,NA,883926594,"MOHAWK INNOVATIVE TECHNOLOGY,","MOHAWK INNOVATIVE TECHNOLOGY",541711
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"966649048",24920274,1417724,"","",9700,"FA865005C2524",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",0,2007-01-01,"EXTEND PERIOD OF PERFORMANCE",NA,NA,966649048,"ENGINEERING RESEARCH & ANALYSI","ENGINEERING RESEARCH & ANALYSI",541710
2012,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AD91","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR1","Small",NA,"128688111",22914027,1422396,"","",9700,"FA865012M2219",1,149995,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","OTHER DEFENSE (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",173304.223030328,2012-01-01,"SBIR1 FY11.2 SMART HIGH TEMP PRESSURE SENSOR","QXCGJ12J54P2",NA,128688111,"SPORIAN MICROSYSTEMS INC","SPORIAN MICROSYSTEMS",541711
2016,"5700","5700","FA8650","F4FRQT","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","3-4 Offers","Firm Fixed Price","ST1","Small",NA,"080159394",59966302,65610341,"","",9700,"FA865016P2708",1,149551,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","3-4 Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",165762.87929085,2016-01-01,"IGF::OT::IGF NOVEL APPROACHES FOR INTEGRATED CONTROLS WITH TMS AND POWER",NA,NA,80159394,"SMART ASSET MONITORING & MANAGEMENT SYSTEMS LLC","SMART ASSET MONITORING & MANAGEMENT SYSTEMS",541712
