,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,,PB19,PB20,PB21,PB22,PB23,,,,,,,
197,PE,0207268F,,Aircraft Engine Component Improvement Program,07,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.  Past investments have reduced warfighter Class A rates and decreased Engine Related Loss of Aircraft (ERLOA)and generated significant returns on investments. Significant new tasks for this year support increasing reliability and maintainability of the B-52 aircraft/TF33 engine, correcting the #1 removal driver for the TF34 engine to achieve LCC of 24M and eliminating a safety concern with cracked header on the F119 engine.  Engine CIP provides the only means to develop/address solutions to safety issues, obsolescence, reliability, availability, maintainability and affordability driven by changes in aircraft operational parameters, missions, usage or age.  It also serves as the primary vehicle implement emerging technology solutions to resolve these issues.   The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver WEAPON SYSTEM capability.  The use of such programs funds would be in addition to the civilian pay expenses budgeted in program element 0605831F.  This program is in Budget Activity 7, Operational System Development because this budget activity includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year.",0.000,108.446,125.666,103.715,0.000,103.715,0.000,0.000,0.000,0.000
197,Project,0207268F,671012,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life. Engine CIP directly addresses engine related causes to aircraft Non-Mission-Capability rates. Significant new tasks for this year support increasing reliability and maintainability of the B-52 aircraft/TF33 engine, correcting the #1 removal driver for the TF34 engine to achieve LCC of 24M and eliminating a safety concern with cracked header on the F119 engine.  Changes in aircraft operational parameters and/or missions and task missions and tasks accelerating the discovery of new engine issues and the need to resolve issues; Engine CIP provides the only means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and replacement spares costs.  Service-related engine deficiencies occur throughout the engine lifecycle. Given the uncertainty with regard to the number and timing of engine-related deficiencies, it is essential for the USAF to have adequate engineering capability, test capacity to rapidly respond to problems as they occur and absolutely paramount to reach SecDef directed 80% mission capability rate for F-22, F-16, and F-15 aircraft.",0.000,75.283,98.104,75.754,0.000,75.754,0.000,0.000,0.000,0.000
197,Project,0207268F,675365,F135 Aircraft Engine Component Improvement Program,7,"The F135 Aircraft Engine Component Improvement Program (CIP) supports F-35 single-engine fighter propulsion system.  It provides the only source of critical developmental engineering support for the F135 propulsion system.  F135 CIP maintains flight safety (highest priority), corrects service revealed deficiencies, improves system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduces propulsion system Life Cycle Cost (LCC), and sustains the propulsion system throughout its service life. Historically, aircraft systems change missions, tactics, and environment (including new fuels) and meet changing threats throughout their lives.  New technical problems can develop in the propulsion system through actual use and the F135 CIP provides the means to develop fixes for these problems.  F135 CIP funding is driven by field events and type/maturity of the propulsion system, not by the total quantity of engines.  The program starts with government acceptance of the first procurement-funded engine and continues over the propulsion system's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational.  F135 CIP, through ""Lead the Fleet"" operational use and accelerated mission testing, identifies and fixes propulsion-related problems ahead of operational impacts.    F135 CIP ensures continued improvements in R&M, which reduce out year support costs.  Historically, R&M related CIP efforts significantly reduce out year O&M and spares costs.",0.000,33.163,27.562,27.961,0.000,27.961,0.000,0.000,0.000,0.000
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PB2021,,,,,,,,,,,,,,,,
Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2019,FY 2020,FY 2021 Base,FY 2021 OCO,FY 2021 Total,FY 2022,FY 2023,FY 2024,FY 2025
5,PE,0602102F,,Materials,02,"This program develops advanced materials, processing, and inspection technologies to reduce life cycle costs and improve performance, sustainability, availability, affordability, supportability, reliability, and survivability of current and future Air Force systems and operations. The program has three projects that develop: structural, propulsion, and sub-systems materials and processes technologies; electronic, optical, and survivability materials and processes technologies; and sustainment materials, processes technologies, and advanced non-destructive inspection methodologies. Efforts in the program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,172.109,215.851,140.781,0.000,140.781,132.522,127.914,130.928,133.385
5,Project,0602102F,624347,"Materials for Structures, Propulsion, and Subsystems",2,"This project develops the materials and processing technology base for aircraft, spacecraft, launch systems, and missiles to improve affordability, maintainability, and performance of current and future Air Force systems. A family of affordable lightweight materials is being developed, including metals, polymers, ceramics, metallic and nonmetallic composites, and hybrid materials to provide upgraded capabilities for existing aircraft, missile, and propulsion systems to meet the future system requirements. The project develops high-temperature turbine engine materials that will enable engine designs to improve turbine engine thrust-to-weight ratio, specific fuel consumption and affordability. Advanced high temperature protection materials are being developed that are affordable, lightweight, dimensionally stable, thermally conductive, and/or ablation and erosion resistant to meet aerospace and missile requirements. Alternative or replacement materials are being developed to maintain the performance of aging operational systems. The project concurrently develops advanced processing methods to enable adaptive processing of aerospace materials.",0.000,83.861,103.844,53.433,0.000,53.433,48.230,46.714,47.852,48.761
6,PE,0602201F,,Aerospace Vehicle Technologies,02,"This program investigates, develops, and analyzes aerospace vehicle technologies in the six primary areas of high speed systems, power and flight control technologies, rocket propulsion, turbine engine technologies, fuel sciences, and  aeromechanics and structure systems. The effort has six projects, each focusing on a technology area critical to the Air Force. The High Speed Systems Technology project develops high speed/hypersonic aerospace vehicles as well as high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies to enable revolutionary propulsion capability for the Air Force. The Power and Flight Control Technologies project develops technologies that enable maximum affordable capability from manned, remotely-piloted and autonomous aerospace vehicles while developing electrical and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Rocket Propulsion Technology project develops advances in rocket propulsion technologies for space access, space maneuver, missiles, the sustainment of strategic systems, and tactical rockets. The Turbine Engine Technology project develops and enables advanced engine architectures across small, medium, large thrust classes; to provide optimized performance, fuel efficiency, and integrated propulsion, power, and thermal capability, while enhancing affordability. Includes technology concepts for legacy and future, advanced turbine engines. The Aerospace Fuel Technology project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation, and combined-cycle engines. The Aeromechanics and Structures project develops and exploits new  materials, fabrication processes, design techniques, and incorporating vehicle, inter-vehicle, and intra-vehicle control systems. Advanced aerodynamic vehicle configurations are developed and analyzed through simulations, experiments, and multi-disciplinary analyses.   In FY 2021, the Aerospace Systems RDT&E Budget Activity 02 (BA02) efforts and activities under PE 0602203F, Aerospace Propulsion, and PE 0602201F, Aerospace Vehicle Technologies, are realigned and consolidated into PE 0602201F, Aerospace Vehicle Technologies, to increase the efficiency and effectiveness of internal Air Force Research Laboratory Aerospace Systems Technology Directorate operations to finalize the 2012 merger of the Air Vehicles Directorate and Propulsion Directorate; and to better support the National Defense Strategy, Air Force Future Operating Concept, and the Air Force Science and Technology Strategy, April 2019.  All transfers detailed below are administrative realignments for consolidation, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located either in Wright Patterson Air Force Base, OH or Edwards Air Force Base, CA.    In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0603216F, Aerospace Propulsion & Power Technology, Project 632480, Aerospace Fuels is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 624847 , Rocket Propulsion Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 624847, Rocket Propulsion Technology.  In FY 2021, the entirety of PE 0602201F, Aerospace Vehicle Technologies, Project 622403, Flight Controls & Pilot-Vehicle Interface is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622406, Aerospace Power & Flight Control Technology.  In FY 2021, the entirety of Program Element 0602201F, Aerospace Vehicle Technologies, Project 622404, Aeromechanics & Integration, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622401, Aeromechanics & Structures Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623012, Advanced Propulsion Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622405, High Speed Systems Technology.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,150.625,157.724,349.225,0.000,349.225,357.519,342.564,350.533,355.874
6,Project,0602201F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. The project investigates advanced propulsion, power, and thermal management system for subsonic, supersonic, or hypersonic vision systems for the 2025-2035 timeframe to:  Develop and demonstrate propulsion technologies for subsonic expendable and attritable air platforms; develop and validate targeted life component design, materials, and modeling tools for all engine classes; develop advanced turbine engine technologies to enable significantly increased range and dash speed; investigate durability, efficiency, and specific power with reduced cost of ownership for reusable engines; develop pervasive, hydrocarbon fueled pressure gain propulsion technologies that offer increased efficiency, reduced propulsion system volume/weight, and truly disruptive vehicle performance to the warfighter; evaluate lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pressure gain propulsion, and combined cycle engines; analysis for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.  This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive air superiority, strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In addition, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology. These transfers support internal Technology Directorate operations and realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept, and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,0.000,0.000,73.887,0.000,73.887,73.705,70.860,72.425,73.523
6,Project,0602201F,625330,Aerospace Fuel Technology,2,"This project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pressure gain propulsion and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of alternative fuels developed from unconventional sources (such as coal, natural gas, biomass, and combinations thereof), unique/alternate fuels and components used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology. In addition, the entirety of Project 632480, Aerospace Fuels in PE 0603216F, Propulsion & Power Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology. These transfers realign and consolidation Aerospace Fuel research and realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,0.000,0.000,7.552,0.000,7.552,7.644,7.496,7.658,7.786
8,PE,0602203F,,Aerospace Propulsion,02,"This effort develops propulsion and power technologies to achieve enabling and revolutionary aerospace technology capabilities. The effort has six projects, each focusing on a technology area critical to the Air Force. The Advanced Propulsion Technology project develops high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies to enable revolutionary propulsion capability for the Air Force. The Combustion and Mechanical Systems project develops engine mechanical system technologies: bearings, seals, drives, and lubricants as well as combustion components, concepts, and technologies for legacy and advanced turbine engines. The Turbine Engine Technology project develops enabling capabilities to enhance performance and affordability of existing weapon systems and develops component technologies for ultra high pressure ratio, substantially improved durability, and adaptive cycle engine architecture to provide optimized performance, fuel efficiency, and life for widely varying mission needs. The Aerospace Power Technology project develops electrical power and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Rocket Propulsion Technology project develops advances in rocket propulsion technologies for space access, space maneuver, missiles, the sustainment of strategic systems, and tactical rockets. The Aerospace Fuel Technology project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation, and combined-cycle engines. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  In FY 2021, the Aerospace Systems RDT&E Budget Activity 02 (BA02) efforts and activities under PE 0602203F, Aerospace Propulsion, and PE 0602201F, Aerospace Vehicle Technologies, are realigned and consolidated into PE 0602201F, Aerospace Vehicle Technologies, to increase the efficiency and effectiveness of internal Air Force Research Laboratory Aerospace Systems Technology Directorate operations to finalize the 2012 merger of the Air Vehicles Directorate and Propulsion Directorate; and to better support the National Defense Strategy, Air Force Future Operating Concept, and the Air Force Science and Technology Strategy, April 2019.  All transfers detailed below are administrative realignments for consolidation, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located either in Wright Patterson Air Force Base, OH or Edwards Air Force Base, CA.    In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 624847 , Rocket Propulsion Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 624847, Rocket Propulsion Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623012, Advanced Propulsion Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622405, High Speed Systems Technology.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,202.638,226.775,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,Project,0602203F,623012,Advanced Propulsion Technology,2,"This project develops combined/advanced cycle air breathing high-speed (up to Mach 5) and hypersonic (Mach 5 to 7) propulsion technologies to provide revolutionary propulsion options for the Air Force. These new engine technologies will enable future high-speed/hypersonic weapons and aircraft concepts. The primary focus is on hydrocarbon-fueled engines capable of operating over a broad range of flight Mach numbers. Efforts include modeling, simulations, and proof of concept demonstrations of critical components; advanced component development; and ground-based demonstrations.  In FY 2021, the entirety of Project 620312, Advanced Propulsion Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622405, High Speed Systems Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,24.875,29.802,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,Project,0602203F,623048,Combustion and Mechanical Systems,2,"This project evaluates lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pulse detonation engines, and combined cycle engines. This project also develops technologies to increase turbine engine operational reliability, durability, mission flexibility, maintainability, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include:  missiles, aircraft, and re-usable high-speed vehicles. Analytical and experimental areas of emphasis include:  lubricants, bearings, mechanical systems diagnostics, mechanical systems prognostics, rotor dynamics, oil-less engine technology, optical diagnostics, fundamental combustion, detonations, combustors, and afterburners. Lubricants for these engines must be thermally stable, cost-effective, and operate over a broad range of conditions. Advanced combustion concepts must be cost-effective, durable, and reduce pollutant emissions. A portion of this project supports adaptive cycle technologies. Adaptive cycle technologies develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.  In FY 2021, the entirety of Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,9.920,11.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,Project,0602203F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. This project develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs. This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).  In FY 2021, the entirety of Project 623066, Turbine Engine Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,48.640,56.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,Project,0602203F,625330,Aerospace Fuel Technology,2,"This project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of alternative fuels developed from unconventional sources (such as coal, natural gas, biomass, and combinations thereof), unique/alternate fuels and components used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.  In FY 2021, the entirety of Project 625330, Aerospace Fuel Technology was transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,4.216,4.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,PE,0603033F,,Next Gen Platform Dev/Demo,03,"This program develops and conducts technology platform demonstrations that provide compelling advantage to the warfighter. The technologies address enabling and enduring Air Force requirements as well as integrated enterprise transformational capabilities intended to reshape the future force. This Program includes space platform technologies, including payloads, protection, vehicles, systems survivability, and in-space propulsion; flight vehicle technologies, including hypersonic flight regime and manned/unmanned systems; propulsion technologies, including turbine-based, high speed/hypersonic, advanced-cycle, space and missile propulsion; and system component technologies, including controls, electrical power, and thermal management. Efforts in this program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication.  In the FY 2021, the Air Force is consolidating its existing thirteen Advanced Technology Development (ATD), Research Development Test and Evaluation (RDT&E), Budget Activity 03 (BA 03) PEs into five new capability focused RDT&E BA 03 PEs to better align with the Air Force Science and Technology (S&T) Strategy signed by the Secretary of the Air Force in April 2019. This consolidation will improve and accelerate delivery of integrated transformational, multidisciplinary, collaborative technology solutions necessary to enable new Air Force warfighting capabilities that support of the National Defense Strategy. This new structure will provide the Air Force and Congress with a clearer understanding and increased transparency of integrated technology solutions and demonstrations key to enabling the Air Force future force design.  In FY 2021, the entirety of 633834, Integrated Space Technology Demonstrations, is transferred from PE 0603401F, Advanced Spacecraft Technology, to PE 0603033F, Next Gen Platform Dev/Demo, with the exception of the work and funding that is associated with the Navigation Technology Satellite-3 Vanguard demonstration which will be realigned to the PE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards.  In FY 2021, the entirety of Project 63682J, Spacecraft Vehicles, is transferred from PE 0603401F, Advanced Spacecraft Technology, to PE 0603033F, Next Gen Platform Dev/Demo.  In FY 2021, the entirety of Project 634920, Flight Vehicle Tech Integration, is transferred from PE 0603211F, Aerospace Technology Dev/Demo, to PE 0603033F, Next Gen Platform Dev/Demo, with the exception of the work and funding associated with the Skyborg Vanguard demonstration which will be realigned to thePE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards.  In FY 2021, the entirety of Project 634926, High Speed/Hypersonic Integration & Demonstrations, is transferred from PE 0603211F, Aerospace Technology Dev/Demo, to PE 0603033F, Next Gen Platform Dev/Demo.  In FY 2021,the entirety of Project 634927, Flight Systems Control, is transferred from PE  0603211F, Aerospace Technology Dev/Demo, to PE 0603033F, Next Gen Platform Dev/Demo, Project 634927, Flight Systems Control, with the exception of the work and funding associated with the Skyborg Vanguard demonstration which will be realigned to the PE 0603032F, Future AF Integrated Technology Demos.  In FY 2021, the entirety of Project 634921, Aircraft Propulsion Subsystems Integration, is transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo, with the exception of funding associated with Skyborg Vanguard demonstration which will be realigned to the PE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards.  In FY 2021, the entirety of Project 633035, Aerospace Power Technology; Project 63681B, Advanced Turbine Engine Gas Generator; Project 634922, Space & Missile Rocket Propulsion; and Project 635098, Advanced Aerospace Propulsion, are transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo.  All these transfers detailed above are part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept, and Air Force S&T Strategy, April 2019. This is an administrative realignment and not a new start.   The Air Force Science and Technology portfolio will continued to be managed at the Enterprise level by the Air Force Technology Executive Officer, dual-hatted as the Air Force Research Laboratory (AFRL) Commander, and executed across the various AFRL Technology Directorates and locations.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science and technology capabilities.  The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 3, Advanced Technology Development because this budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment.",0.000,0.000,0.000,199.556,0.000,199.556,197.210,230.125,257.613,301.799
19,Project,0603033F,634921,Aircraft Propulsion Subsystems Int,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aircraft Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high- pressure spool) technology developed under the Versatile Affordable Advanced Turbine Engines (VAATE) project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine-to-airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The Aircraft Propulsion Subsystems Integration project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with ten times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, high power extraction, integrated thermal management, and durability for widely varying mission needs.  In FY 2021, Project 634921, Aircraft Propulsion Subsystems Int, Non-Vanguard efforts and activities are transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo, Project 634921, Aircraft Propulsion Subsystems Int, as part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force S&T Strategy, April 2019. The Project and associated Non-Vanguard efforts and activities will continue to be managed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson, OH. This is an administrative realignment for consolidation, and not a new start.",0.000,0.000,0.000,10.826,0.000,10.826,10.096,8.095,18.855,19.236
